idx,r1,r2,a2,E,rmse,Erel
42,0.909,1.009,88.45,-47939.155804587404,2.6602766205737822,7.5810519938968355
43,0.909,1.009,90.45,-47940.255064342804,2.4654863667277884,6.481792238497292
44,0.909,1.009,92.45,-47941.18910255831,2.273558544672744,5.547754022991285
45,0.909,1.009,94.45,-47941.962123504,2.0842179138896735,4.774733077298151
46,0.909,1.009,96.45,-47942.5783942003,1.9010149219262584,4.158462380997662
47,0.909,1.009,98.45,-47943.04230716821,1.7259552456050293,3.694549413092318
48,0.909,1.009,100.45,-47943.35806667781,1.5620481697936397,3.37878990349418
49,0.909,1.009,102.45,-47943.53031625131,1.415232798654762,3.206540329993004
50,0.909,1.009,104.45,-47943.5635739103,1.2884403238861302,3.1732826709994697
51,0.909,1.009,106.45,-47943.4625459273,1.1873477745618246,3.2743106540001463
52,0.909,1.009,108.45,-47943.2322523263,1.1241270182245426,3.50460425500205
53,0.909,1.009,110.45,-47942.877587630705,1.1026430470071638,3.859268950596743
54,0.909,1.009,112.45,-47942.403885616004,1.1234653334424662,4.332970965297136
55,0.909,1.009,114.45,-47941.8166055583,1.1877941630998101,4.920251023002493
56,0.909,1.009,116.45,-47941.121269484,1.2851177624048267,5.6155870973016135
57,0.909,1.009,118.45,-47940.32377592131,1.4103731985115688,6.413080659993284
58,0.909,1.009,120.45,-47939.430211649305,1.5543894007211663,7.306644931995834
59,0.909,1.009,122.45,-47938.446977198604,1.7122458253890016,8.289879382697109
60,0.959,0.909,84.45,-47936.457918189204,2.2584107480099282,10.278938392097189
61,0.959,0.909,86.45,-47938.007976099805,2.063211065885359,8.728880481496162
62,0.959,0.909,88.45,-47939.3785054021,1.8692810134181526,7.358351179202145
63,0.959,0.909,90.45,-47940.574337869206,1.6765835933178477,6.162518712095334
64,0.959,0.909,92.45,-47941.6001797736,1.4879799441869082,5.136676807698677
65,0.959,0.909,94.45,-47942.4607373878,1.3058410657434074,4.276119193498744
66,0.959,0.909,96.45,-47943.16052873341,1.131025423908143,3.576327847891662
67,0.959,0.909,98.45,-47943.7043855835,0.968745672223542,3.0324709978012834
68,0.959,0.909,100.45,-47944.096951460306,0.8292081078142374,2.639905120995536
69,0.959,0.909,102.45,-47944.3430581369,0.7233686341739362,2.3937984443982714
70,0.959,0.909,104.45,-47944.4477256373,0.6725628432451698,2.289130944001954
71,0.959,0.909,106.45,-47944.4159739855,0.6852235251042168,2.3208825957990484
72,0.959,0.909,108.45,-47944.2528859558,0.759599494306497,2.4839706255006604
73,0.959,0.909,110.45,-47943.9639208243,0.8783374193601602,2.772935756998777
74,0.959,0.909,112.45,-47943.5544751168,1.0266874559225336,3.1823814645031234
75,0.959,0.909,114.45,-47943.0303846112,1.191856213383202,3.70647197010112
76,0.959,0.909,116.45,-47942.3974223351,1.368465538508922,4.339434246197925
77,0.959,0.909,118.45,-47941.6618005682,1.5512139711814812,5.075056013098219
78,0.959,0.909,120.45,-47940.829794340505,1.7365567150407948,5.907062240796222
79,0.959,0.909,122.45,-47939.9079296832,1.9235693779521326,6.828926898102509
80,0.959,0.959,84.45,-47939.529921876,2.775111446108024,7.2069347053038655
81,0.959,0.959,86.45,-47940.9843483294,2.5627271441155224,5.752508251898689
82,0.959,0.959,88.45,-47942.26426619851,2.349572484252872,4.472590382792987
83,0.959,0.959,90.45,-47943.374005254,2.1341809805324288,3.3628513272997225
84,0.959,0.959,92.45,-47944.317769766,1.9194658548276982,2.4190868153018528
85,0.959,0.959,94.45,-47945.09982675491,1.7038810530623543,1.6370298263937002
86,0.959,0.959,96.45,-47945.724505991406,1.4889580590979832,1.0123505898955045
