idx,r1,r2,a2,E,rmse,Erel
51,0.909,1.009,106.45,-47712.92459525911,56.022186404140484,3.231012946998817
52,0.909,1.009,108.45,-47712.78729760271,56.0597712917217,3.3683106034004595
53,0.909,1.009,110.45,-47712.525754352304,56.09500832851057,3.62985385380307
54,0.909,1.009,112.45,-47712.14498553191,56.12955212697448,4.010622674199112
55,0.909,1.009,114.45,-47711.65007391581,56.16470294608094,4.505534290299693
56,0.909,1.009,116.45,-47711.04629052921,56.20035489864355,5.109317676899082
57,0.909,1.009,118.45,-47710.3390946482,56.239917328139285,5.816513557903818
58,0.909,1.009,120.45,-47709.53413379981,56.278556492264755,6.621474406296329
59,0.909,1.009,122.45,-47708.6373692625,56.302224382727424,7.518238943608594
60,0.959,0.909,84.45,-47706.5273276747,55.90087478247456,9.628280531404016
61,0.959,0.909,86.45,-47708.149046427905,55.90903157818474,8.006561778202013
62,0.959,0.909,88.45,-47709.59638209741,55.91998022877516,6.559226108700386
63,0.959,0.909,90.45,-47710.872848700004,55.92815419700918,5.282759506102593
64,0.959,0.909,92.45,-47711.98221125371,55.944390798409806,4.173396952399344
65,0.959,0.909,94.45,-47712.9281092759,55.959044613607404,3.227498930209549
66,0.959,0.909,96.45,-47713.71449603551,55.979062947761015,2.4411121705998085
67,0.959,0.909,98.45,-47714.34551305231,55.99600053510761,1.8100951537999208
68,0.959,0.909,100.45,-47714.8254273467,56.016878034423584,1.3301808594042086
69,0.959,0.909,102.45,-47715.1586314397,56.03762310057981,0.9969767664078972
70,0.959,0.909,104.45,-47715.3498316038,56.06545148799307,0.8057766023048316
71,0.959,0.909,106.45,-47715.4037341115,56.092403391071294,0.7518740946034086
72,0.959,0.909,108.45,-47715.3253589868,56.12635232396267,0.8302492193033686
73,0.959,0.909,110.45,-47715.11966350341,56.14342467524083,1.0359447027003625
74,0.959,0.909,112.45,-47714.7919814368,56.17603754848052,1.3636267693073023
75,0.959,0.909,114.45,-47714.347646562506,56.212092273216705,1.80796164360072
76,0.959,0.909,116.45,-47713.79230640751,56.253841919408536,2.363301798599423
77,0.959,0.909,118.45,-47713.1316712491,56.290134840947104,3.02393695700448
78,0.959,0.909,120.45,-47712.3717023658,56.32690530195699,3.7839058403042145
79,0.959,0.909,122.45,-47711.51867478761,56.35953572550038,4.636933418500121
80,0.959,0.959,84.45,-47708.11698102461,55.81474652206376,8.038627181500487
81,0.959,0.959,86.45,-47709.63942880321,55.820233818958336,6.516179402897251
82,0.959,0.959,88.45,-47710.9928900239,55.8341486325473,5.162718182204117
83,0.959,0.959,90.45,-47712.180564952,55.849963188407,3.9750432541040936
84,0.959,0.959,92.45,-47713.205779353404,55.86264434424344,2.9498288527029217
85,0.959,0.959,94.45,-47714.0720472449,55.869634569572995,2.083560961204057
86,0.959,0.959,96.45,-47714.7831336445,55.893029426957334,1.372474561605486
87,0.959,0.959,98.45,-47715.3428035702,55.91631398246401,0.812804635905195
88,0.959,0.959,100.45,-47715.7552612921,55.94186212027696,0.40034691400796873
