,rmse,pkl,class,alpha,uuid,l2,type
29,0.510780224147077,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_47_1.xyz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
30,0.505900359343197,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_6_dcm_pbe0_adz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
31,0.4940651027583025,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_42_7.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
32,0.4953502585111086,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_51_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
33,0.5147335275563286,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_42_6.xyz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
34,0.515054117693353,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_28_7.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
35,0.5129534459085303,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_30_6.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
36,0.5162895457991905,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_48_2.xyz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
37,0.5084262465829702,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_4_1.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
38,0.4977880716969563,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_20_2.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
